Sr. No,Date of data collection,Time of data collection,Pond ID,Type,Is follow up,Is follow up possible,Reason follow up not possible,Group,Pond status,Observer,Equipment,Weather,DO (mg/L),pH,Turbidity (in cm),Ammonia—TAN (NH3-N) (mg/L),Ammonia—TAN (NH3) (mg/L),Ammonia—NH3 (mg/L),Temp (in °C),TDS (ppt),Alkalinity (mg/L),Hardness (mg/L),Water color,Is WQ in range?,Parameters out of range,Corrective actions requested,Corrective actions requested (other),Corrective actions amount requested,Corrective actions,Corrective actions implemented,Corrective actions implementation date,Corrective actions taken,Corrective actions taken (other),Corrective actions taken (details),Non-prescribed corrective actions taken,Reason not implemented,Water quality improved after corrective actions,Corrective action notes,Individuals air gulping,Individuals tail splashing,Dead fish,Notes (mortalities),Self-initiated corrective actions taken,Self-initiated corrective actions implemented on (exact date),Self-initiated corrective actions implemented (date range),Self-initiated corrective actions notes,Feed amount (kg),Stocking density (per acre),Species,Weight,Notes,Have fish been helped
13008,03/24/2026,07:25,pond_02b8575a,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.5,8.23,,,0.25,0.03,28.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/21/2026,,,1250,2227,"Catla (Catla catla), Rohu (Labeo rohita)",1400.0,,No
13007,03/24/2026,07:07,pond_21320075,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.7,8.25,,,0.25,0.03,28.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/21/2026,,,1400,1846,"Catla (Catla catla), Rohu (Labeo rohita)",1200.0,,No
13006,03/24/2026,06:57,pond_319c1ff7,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.5,8.19,,,0.25,0.02,28.4,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/21/2026,,,1000,1733,"Rohu (Labeo rohita), Catla (Catla catla)",900.0,,No
13005,03/24/2026,06:53,pond_56e8a695,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.2,8.21,,,0.25,0.03,28.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/21/2026,,,1150,2052,"Rohu (Labeo rohita), Catla (Catla catla)",800.0,,No
13004,03/24/2026,06:40,pond_35f0d376,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.4,8.28,,,0.25,0.03,28.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,"Stop feeding for 24 hours, Water sanitizers",03/21/2026,,,2100,2227,"Catla (Catla catla), Rohu (Labeo rohita)",1200.0,,No
12990,03/23/2026,07:36,pond_2781ed8d,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.0,8.27,,,0.0,0.0,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,75,11818,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12995,03/23/2026,07:26,pond_283dc502,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.4,7.93,,,0.0,0.0,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1850,2432,"Catla (Catla catla), Rohu (Labeo rohita)",1400.0,,No
12994,03/23/2026,07:17,pond_d8d30ad3,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.4,8.17,,,0.0,0.0,28.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,800,2129,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12989,03/23/2026,07:17,pond_a32076ad,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.3,8.21,,,0.0,0.0,27.8,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,450,13208,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,,No
12993,03/23/2026,07:09,pond_6772b310,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,2.7,8.51,,,1.0,0.19,28.5,,,,Dark green,No,"Dissolved Oxygen, Ph, Ammonia Nh3",,,,,,,,,,,,,,0,0,0,,,,,,550,3000,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,,No
12988,03/23/2026,07:04,pond_b6292420,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.17,,,0.25,0.02,27.9,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,250,14286,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12992,03/23/2026,06:57,pond_cc57546e,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.2,8.21,,,0.25,0.03,28.7,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,650,2635,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12991,03/23/2026,06:50,pond_f5213f43,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #15",Sunny,3.2,8.18,,,0.25,0.02,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,800,2609,"Catla (Catla catla), Rohu (Labeo rohita)",1300.0,,No
12984,03/18/2026,07:36,pond_439eae87,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.3,8.23,,,0.0,0.0,27.0,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,400,6250,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12983,03/18/2026,07:16,pond_3a0067e4,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.5,8.12,,,0.25,0.02,26.8,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,200,31579,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12982,03/18/2026,07:06,pond_c2458988,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.21,,,0.0,0.0,26.8,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,13931,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12958,03/17/2026,07:39,pond_304a9d41,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.7,8.24,,,0.0,0.0,28.0,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,100,71429,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12957,03/17/2026,07:27,pond_522cd38a,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.5,8.06,,,0.25,0.02,28.0,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,850,6316,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12956,03/17/2026,07:18,pond_5f07dc7a,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.7,8.15,,,0.0,0.0,28.0,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,4190,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,,No
12961,03/17/2026,07:17,pond_d7feb952,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.1,8.21,,,0.0,0.0,27.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,250,10476,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12955,03/17/2026,07:10,pond_44865e41,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,8.1,,,0.0,0.0,27.9,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,150,20000,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12960,03/17/2026,07:02,pond_60dd3196,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.16,,,0.0,0.0,27.3,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,250,15068,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12954,03/17/2026,07:02,pond_74ea5a99,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.2,8.16,,,0.25,0.02,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,800,6667,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12959,03/17/2026,06:49,pond_f6d09111,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.1,8.19,,,0.0,0.0,27.2,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,50,19333,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12970,03/16/2026,07:43,pond_a80e42b6,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.3,8.14,,,0.25,0.02,27.9,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,150,3432,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,,No
12969,03/16/2026,07:12,pond_8e6046b4,Morning,No,,,Regular ara pond,Control,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.0,8.21,,,0.0,0.0,27.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,2250,2559,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,,No
12968,03/16/2026,06:41,pond_ac7bb683,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.25,,,0.0,0.0,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,750,2907,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,,No
12926,03/15/2026,07:58,pond_f1f0953d,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.3,8.16,,,0.25,0.02,28.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1500,2768,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,,No
12923,03/14/2026,07:51,pond_eb2903bd,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.7,8.24,,,0.25,0.03,28.3,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,850,2927,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,,No
12922,03/14/2026,07:45,pond_195e5b24,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.1,7.97,,,0.25,0.02,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,Soil probiotics,03/12/2026,,,1100,2979,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12908,03/13/2026,08:28,pond_41a4dead,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,4.3,8.23,,,0.0,0.0,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1500,2398,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,,No
12900,03/13/2026,08:24,pond_4e07e1a3,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.1,7.96,,,0.0,0.0,28.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1200,2516,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12914,03/13/2026,08:18,pond_e6185c34,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,4.2,8.15,,,0.0,0.0,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,500,3111,"Catla (Catla catla), Rohu (Labeo rohita)",100.0,,No
12888,03/13/2026,08:13,pond_868241e3,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.5,8.15,,,0.0,0.0,27.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,400,2240,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12899,03/13/2026,08:12,pond_a59c9ac7,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14",Sunny,3.2,7.75,,,0.25,0.01,28.6,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,3000,2130,"Catla (Catla catla), Rohu (Labeo rohita)",600.0,,No
12907,03/13/2026,08:11,pond_90dd090b,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,4.6,8.3,,,0.0,0.0,28.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,950,2815,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,,No
12906,03/13/2026,08:01,pond_80e22f42,Morning,No,,,Outcome evaluation 2,Control,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,4.3,8.29,,,0.25,0.03,28.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1000,2963,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12887,03/13/2026,08:01,pond_a72a9ad7,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.14,,,0.0,0.0,27.5,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,100,70175,Rohu (Labeo rohita),40.0,,No
12905,03/13/2026,07:50,pond_44f24b9a,Morning,No,,,Outcome evaluation 2,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.1,8.0,,,0.5,0.03,28.5,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1300,2844,"Catla (Catla catla), Rohu (Labeo rohita)",1100.0,,No
12964,03/13/2026,07:47,pond_d2e83c32,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Foggy,3.0,8.25,,,0.0,0.0,27.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,75,71875,"Rohu (Labeo rohita), Catla (Catla catla)",5.0,,No
12963,03/13/2026,07:22,pond_b36b9eee,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), Thermometer #3, pH pen #13, API Ammonia Test Kit",Foggy,3.0,8.23,,,0.0,0.0,27.5,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1500,1979,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
12962,03/13/2026,07:03,pond_583a1334,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Foggy,4.5,8.31,,,0.0,0.0,27.5,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1250,1843,"Rohu (Labeo rohita), Catla (Catla catla)",350.0,,No
12869,03/12/2026,07:58,pond_2855b437,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.2,8.35,,,0.0,0.0,27.0,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1000,11111,"Rohu (Labeo rohita), Catla (Catla catla)",83.0,,No
12893,03/12/2026,07:56,pond_11799705,Morning,No,,,Outcome evaluation 2,Control,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.3,8.69,,,0.25,0.06,27.9,,,,Saturated green,No,"Ph, Ammonia Nh3",,,,,,,,,,,,,,0,0,0,,,,,,500,2547,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,,No
12892,03/12/2026,07:51,pond_8902ecd3,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14",Sunny,3.2,8.11,,,0.5,0.04,27.6,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1100,2500,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12891,03/12/2026,07:45,pond_4a880fc8,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), Thermometer #2, API Ammonia Test Kit, pH pen #14",Sunny,3.9,8.31,,,0.0,0.0,27.4,,,,Saturated green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,1500,2281,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12868,03/12/2026,07:34,pond_6a5ab9d0,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,4.0,8.34,,,0.0,0.0,27.0,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,75,68966,"Rohu (Labeo rohita), Catla (Catla catla)",20.0,,No
12867,03/12/2026,07:22,pond_b9aedd06,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.7,8.32,,,0.0,0.0,27.1,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,50,71429,"Rohu (Labeo rohita), Catla (Catla catla)",10.0,,No
12866,03/12/2026,07:09,pond_6fa8a2a5,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.7,8.25,,,0.0,0.0,27.2,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,100,55556,"Rohu (Labeo rohita), Catla (Catla catla)",30.0,,No
12865,03/12/2026,06:57,pond_0a3f9f76,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.5,8.24,,,0.0,0.0,26.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,750,2286,"Rohu (Labeo rohita), Catla (Catla catla)",140.0,,No
12863,03/11/2026,08:13,pond_17b6d1f2,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,4.8,8.35,,,0.0,0.0,27.4,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,650,1296,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,,No
12857,03/11/2026,08:11,pond_7eadb9bf,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.3,8.15,,,0.25,0.02,27.8,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,Stop feeding for 48 hours,,0-7 days ago,,1400,2571,"Rohu (Labeo rohita), Catla (Catla catla)",350.0,,No
12845,03/11/2026,08:02,pond_05f65197,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.0,8.23,,,0.0,0.0,27.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,75,57143,"Rohu (Labeo rohita), Catla (Catla catla)",30.0,,No
12859,03/11/2026,08:00,pond_c7407a79,Morning,No,,,Outcome evaluation 2,Treatment,Nagaraju P.,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #2, pH pen #14",Sunny,3.2,8.24,,,0.5,0.05,27.7,,,,Light green,Yes,,,,,,,,,,,,,,,0,0,0,,Increase fertilization,03/10/2026,0-7 days ago,,1200,2773,"Rohu (Labeo rohita), Catla (Catla catla)",,,No
12844,03/11/2026,07:15,pond_a1a3333d,Morning,No,,,Regular ara pond,Treatment,Jeevan,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #3, pH pen #13",Sunny,3.3,8.21,,,0.0,0.0,27.3,,,,Dark green,Yes,,,,,,,,,,,,,,,0,0,0,,,,,,900,1579,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,,No
