Sr. No,Date of data collection,pond_id,region,Enrollment mechanism,Culture change,Existing practices,Notes (existing practices),Fertilizers used,Notes,Added by,Property area in acres,Pond area in acres,Depth in meters,Status,Measurements,Equipment,Feed type,Feed source,Feed brand or name
315,07/01/2025,pond_3da22c74,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,12.0,11.2,1.5,Treatment,11,"6 aerator, 1 water pump",DORB,Local market,
314,06/11/2025,pond_d2e83c32,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.0,3.2,1.5,Treatment,11,"5 aerator, 1 water pump",DORB,Local market,
313,06/11/2025,pond_b36b9eee,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,54.0,48.0,1.5,Treatment,8,1 water pump,DORB,Local market,
312,06/11/2025,pond_583a1334,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,57.0,51.0,1.5,Treatment,11,"3 aerator, 1 water pump",DORB,Local market,
311,06/09/2025,pond_6a5ab9d0,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,3.0,2.9,1.5,Treatment,12,1 water pump,DORB,Local market,
310,06/09/2025,pond_2855b437,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,20.0,18.0,1.5,Treatment,8,1 water pump,DORB,Local market,
309,06/09/2025,pond_b9aedd06,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,3.0,2.8,1.5,Treatment,8,1 water pump,DORB,Local market,
308,06/09/2025,pond_6fa8a2a5,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.0,3.6,1.5,Treatment,12,1 water pump,DORB,Local market,
307,06/09/2025,pond_0a3f9f76,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,30.0,28.0,1.5,Treatment,10,1 water pump,DORB,Local market,
306,06/09/2025,pond_868241e3,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,14.0,12.5,1.5,Treatment,5,1 water pump,DORB,Local market,
305,06/09/2025,pond_a72a9ad7,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,6.0,5.7,1.5,Treatment,7,1 water pump,DORB,Local market,
304,06/09/2025,pond_715ebd01,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,40.0,38.0,1.5,Treatment,9,"4 aerator, 1 water pump",DORB,Local market,
303,06/09/2025,pond_5c0b4414,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,50.0,48.0,1.5,Treatment,9,"5 aerator, 1 water pump",DORB,Local market,
302,06/03/2025,pond_319c1ff7,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,16.0,15.0,1.5,Treatment,16,1 water pump,DORB,National supplier,
301,06/03/2025,pond_56e8a695,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,31.0,29.0,1.5,Treatment,17,1 water pump,DORB,National supplier,
299,06/03/2025,pond_35f0d376,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,50.0,44.0,1.5,Treatment,15,1 water pump,DORB,National supplier,
298,05/27/2025,pond_304a9d41,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,3.0,2.8,1.5,Treatment,12,"3 aerator, 1 water pump",DORB,National supplier,
297,05/05/2025,pond_e95651d9,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.5,4.2,1.5,Treatment,10,1 water pump,DORB,Local market,
296,05/05/2025,pond_05f65197,Eluru,Organic,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",,Praveen,4.0,3.5,1.5,Treatment,6,1 water pump,DORB,Local market,
