Sr. No,Event date,Initial entry,pond_id,region,Pond status,Type,Logged by,Data verification method,Data verified by,Lifecycle,Current fish stocking density per acre,Current shrimp stocking density per acre,Species,Species ratio,Reported target weight in grams,Communicated stock density limit,Average fish weight (in grams),Average weight of Catla (Catla catla) (in grams),Average weight of Rohu (Labeo rohita) (in grams),Average weight of Mrigal (Cirrhinus cirrhosus) (in grams),Average weight of Grass Carp (Ctenopharyngodon idella) (in grams),Average weight of Common Carp (Cyprinus carpio) (in grams),Average weight of Roopchand (in grams),Average weight of Whiteleg Shrimp (Litopenaeus vannamei) (in grams),Average weight of Pangasius (in grams),Intended fish stocking density (per acre),Intended fish stocking density (entire pond),Actual fish stocking density (per acre),Fish stocking density (entire pond),Intended shrimp stocking density (per acre),Intended shrimp stocking density (entire pond),Actual shrimp stocking density (per acre),Actual shrimp stocking density (entire pond),Fish purchases diverted,Shrimp purchases diverted,Did the farmer do pond preparation?,Explain what the farmer did for pond preparation,Is the farmer planning to do pond preparation?,Explain what the farmer is planning to do for pond preparation,Harvest reason,"Fish harvested (total, in kg)","Shrimp harvested (total, in kg)","Fish left in the pond (total, in individuals)","Shrimp left in the pond (total, in individuals)",Notes,Lifecycle is updated accordingly on the master doc,Created at
13014,01/27/2026,No,pond_9252e874,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Grow-out,2717.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,250.0,,,,,,,,,2717,25000.0,2717.0,25000.0,,,,,0.0,,0,,,,,,,,,,Yes,02/05/2026 05:23
13013,01/23/2026,No,pond_9252e874,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,32000,,0,,,Yes,02/05/2026 05:21
13017,01/10/2026,No,pond_dc98e449,Eluru,Control,Stocking,Chaitanya,Verbal communication,,Grow-out,2966.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000.0,3000.0,500.0,,,,,,,,,2966,35000.0,2966.0,35000.0,,,,,0.0,,0,,,,,,,,,,Yes,02/05/2026 05:26
12954,01/06/2026,No,pond_44865e41,Eluru,Treatment,Partial harvest,Chaitanya,Verbal communication,,Rearing,20000.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,80.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,140000,,175000 fishes were transferred to their own grow out ponds and 300000 fishes were sold to other farmers.,Yes,01/30/2026 06:25
12953,01/06/2026,No,pond_74ea5a99,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,6667.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250.0,12000.0,50.0,,,,,,,,,6667,130000.0,6667.0,130000.0,,,,,0.0,,0,,,,,,,,,,Yes,01/30/2026 06:17
12955,01/05/2026,No,pond_47f64c85,Eluru,Treatment,Harvest,Chaitanya,Verbal communication,,Breed-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,300.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,,,0,,,Yes,01/30/2026 06:29
12933,01/05/2026,No,pond_f18f1d57,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,550.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,3025,,0,,,Yes,01/23/2026 07:35
12932,01/04/2026,No,pond_09f0cd92,Nellore,Treatment,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200.0,,,,,,,,,,,,,,,,,,,,,1,Sun dry the pond bottom and removed debris,Planned harvest,22800,,0,,,Yes,01/23/2026 07:30
12952,01/02/2026,No,pond_5f07dc7a,Eluru,Treatment,Stocking,Chaitanya,Verbal communication,,Breed-out,4190.0,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300.0,10000.0,100.0,,,,,,,,,4190,44000.0,4190.0,44000.0,,,,,0.0,,0,,,,,,,,,"Emptied the pond water, given tilapia poison and added fresh water.",Yes,01/30/2026 06:15
12841,12/31/2025,No,pond_ee1be8cb,Eluru,Control,Harvest,Chaitanya,Verbal communication,,Grow-out,0.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1600.0,,,,,,,,,,,,,,,,,,,,,0,,Planned harvest,200000,,0,,,Yes,01/06/2026 05:41
