Sr. No,Date of data collection,Time of data collection,pond_id,region,Type,Is follow up,Is follow up possible,Reason follow up not possible,Group,Pond status,Observer,Equipment,Weather,DO (mg/L),pH,Turbidity (in cm),Ammonia—TAN (NH3-N) (mg/L),Ammonia—TAN (NH3) (mg/L),Ammonia—NH3 (mg/L),Temp (in °C),TDS (ppt),Alkalinity (mg/L),Hardness (mg/L),Water color,Is WQ in range?,Parameters out of range,Corrective actions requested,Corrective actions requested (other),Corrective actions amount requested,Corrective actions,Corrective actions implemented,Corrective actions implementation date,Corrective actions taken,Corrective actions taken (other),Corrective actions taken (details),Non-prescribed corrective actions taken,Reason not implemented,Water quality improved after corrective actions,Corrective action notes,Individuals air gulping,Individuals tail splashing,Dead fish,Notes (mortalities),Self-initiated corrective actions taken,Self-initiated corrective actions implemented on (exact date),Self-initiated corrective actions implemented (date range),Self-initiated corrective actions notes,Feed amount (kg),Stocking density (per acre),Species,Weight,Notes,Have fish been helped
12335,01/27/2026,16:05,pond_5f07dc7a,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), Thermometer #4, pH pen #11",Sunny,11.1,8.31,,,,,26.9,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,4190.0,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12329,01/27/2026,15:53,pond_0c63298a,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,10.9,8.38,,,,,28.0,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1556.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12334,01/27/2026,15:50,pond_44865e41,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), Thermometer #4, pH pen #11",Sunny,10.6,8.15,,,,,26.8,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,20000.0,"Rohu (Labeo rohita), Catla (Catla catla)",30.0,,No
12328,01/27/2026,15:47,pond_8dd26bbf,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,11.8,8.44,,,,,27.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2182.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12327,01/27/2026,15:42,pond_e78b9c9a,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,11.4,8.43,,,,,28.3,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,8046.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12333,01/27/2026,15:40,pond_74ea5a99,Eluru,Evening,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), Thermometer #4, pH pen #11",Sunny,10.8,8.21,,,,,26.9,,,,Dark green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,6667.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,,No
12326,01/27/2026,15:38,pond_09e8bfb8,Eluru,Evening,No,,,Regular ara pond,Treatment,Nagaraju P.,"pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,11.6,8.48,,,,,28.1,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,37037.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12332,01/27/2026,07:58,pond_5f07dc7a,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.7,8.12,,,0.0,0.0,24.1,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,400.0,4190.0,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,,No
12325,01/27/2026,07:46,pond_e78b9c9a,Eluru,Morning,No,,,Regular ara pond,Treatment,Nagaraju P.,"API Ammonia Test Kit, pH pen #14, Thermometer #2, Winkler's Method (DO)",Sunny,3.2,7.95,,,0.25,0.01,24.4,,,,Saturated green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,650.0,8046.0,"Catla (Catla catla), Rohu (Labeo rohita)",,,No
12331,01/27/2026,07:41,pond_44865e41,Eluru,Morning,No,,,Regular ara pond,Treatment,Ravi,"Winkler's Method (DO), API Ammonia Test Kit, Thermometer #4, pH pen #11",Sunny,3.4,8.05,,,0.25,0.01,24.0,,,,Light green,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,100.0,20000.0,"Rohu (Labeo rohita), Catla (Catla catla)",30.0,,No
