temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,dewpoint_2m_mean,pressure_msl_mean,cloudcover_mean,date,temperature_2m_mean_7d_avg,temperature_2m_mean_3d_avg,windspeed_10m_max_7d_avg,windspeed_10m_max_3d_avg,relative_humidity_2m_mean_7d_avg,relative_humidity_2m_mean_3d_avg,precipitation_sum_7d_avg,precipitation_sum_3d_avg,shortwave_radiation_sum_7d_avg,shortwave_radiation_sum_3d_avg,cloudcover_mean_7d_avg,cloudcover_mean_3d_avg,dewpoint_2m_mean_7d_avg,dewpoint_2m_mean_3d_avg,pressure_msl_mean_7d_avg,pressure_msl_mean_3d_avg,temp_range,humidity_range
31.2,20.0,24.7,33.1,22.3,26.8,0.0,0.0,17.0,34.6,102,16.14,3.64,92,39,71,18.5,1015.1,39,2024-01-01,24.7,24.7,17.0,17.0,71.0,71.0,0.0,0.0,16.14,16.14,39.0,39.0,18.5,18.5,1015.1,1015.1,11.2,53
31.0,19.7,24.5,32.2,22.1,26.3,0.0,0.0,21.1,41.0,103,14.03,3.47,94,43,71,18.5,1014.4,34,2024-01-02,24.6,24.6,19.05,19.05,71.0,71.0,0.0,0.0,15.085,15.085,36.5,36.5,18.5,18.5,1014.75,1014.75,11.3,51
31.0,20.0,24.8,31.5,22.3,25.9,0.0,0.0,19.0,38.2,90,17.39,4.43,94,37,67,17.5,1014.1,21,2024-01-03,24.666666666666668,24.666666666666668,19.033333333333335,19.033333333333335,69.66666666666667,69.66666666666667,0.0,0.0,15.853333333333333,15.853333333333333,31.333333333333332,31.333333333333332,18.166666666666668,18.166666666666668,1014.5333333333333,1014.5333333333333,11.0,57
31.0,20.1,24.7,32.3,21.9,26.0,0.0,0.0,18.0,36.4,92,17.34,4.25,89,39,69,17.9,1014.0,65,2024-01-04,24.675,24.666666666666668,18.775,19.366666666666667,69.5,69.0,0.0,0.0,16.225,16.253333333333334,39.75,40.0,18.1,17.966666666666665,1014.4,1014.1666666666666,10.899999999999999,50
31.0,20.1,24.7,31.4,21.8,25.7,0.0,0.0,14.9,31.0,85,18.24,4.49,91,36,67,17.2,1014.1,24,2024-01-05,24.68,24.73333333333333,18.0,17.3,69.0,67.66666666666667,0.0,0.0,16.628,17.656666666666666,36.6,36.666666666666664,17.919999999999998,17.53333333333333,1014.3399999999999,1014.0666666666666,10.899999999999999,55
30.9,19.9,24.7,31.9,21.6,25.9,0.0,0.0,19.0,38.9,80,18.01,4.41,94,41,70,18.2,1014.4,43,2024-01-06,24.683333333333334,24.7,18.166666666666668,17.3,69.16666666666667,68.66666666666667,0.0,0.0,16.858333333333334,17.863333333333333,37.666666666666664,44.0,17.966666666666665,17.766666666666666,1014.35,1014.1666666666666,11.0,53
30.3,20.4,24.8,31.3,21.7,25.6,0.0,0.0,16.3,35.3,76,15.91,4.3,89,39,67,17.5,1014.9,36,2024-01-07,24.7,24.73333333333333,17.9,16.733333333333334,68.85714285714286,68.0,0.0,0.0,16.722857142857144,17.386666666666667,37.42857142857143,34.333333333333336,17.9,17.633333333333333,1014.4285714285714,1014.4666666666667,9.900000000000002,50
29.8,20.9,25.0,30.6,22.6,26.1,0.0,0.0,15.1,32.8,76,12.2,3.58,93,41,68,18.1,1015.3,66,2024-01-08,24.742857142857144,24.833333333333332,17.62857142857143,16.8,68.42857142857143,68.33333333333333,0.0,0.0,16.16,15.373333333333335,41.285714285714285,48.333333333333336,17.842857142857145,17.933333333333334,1014.4571428571428,1014.8666666666667,8.900000000000002,52
32.0,21.9,26.0,32.7,23.9,27.2,0.0,0.0,16.1,33.8,82,17.15,4.61,89,35,65,18.1,1015.2,48,2024-01-09,24.95714285714286,25.266666666666666,16.914285714285715,15.833333333333334,67.57142857142857,66.66666666666667,0.0,0.0,16.605714285714285,15.086666666666666,43.285714285714285,50.0,17.785714285714285,17.900000000000002,1014.5714285714286,1015.1333333333332,10.100000000000001,54
32.5,20.5,25.6,34.6,23.0,28.1,0.0,0.0,19.5,37.8,107,17.54,4.03,96,37,72,19.4,1014.4,61,2024-01-10,25.071428571428573,25.53333333333333,16.985714285714288,16.900000000000002,68.28571428571429,68.33333333333333,0.0,0.0,16.627142857142857,15.63,49.0,58.333333333333336,18.057142857142857,18.533333333333335,1014.6142857142856,1014.9666666666667,12.0,59
